药物1,药物2,相互作用类型,详细描述
ramipril,trifluoperazine,药效减弱,Trifluoperazine may decrease the antihypertensive activities of Ramipril.
ramipril,dutasteride,药效减弱,Dutasteride may decrease the antihypertensive activities of Ramipril.
ramipril,everolimus,药效增强,The risk or severity of adverse effects can be increased when Everolimus is combined with Ramipril.
ramipril,bimatoprost,药效增强,Ramipril may increase the hypotensive activities of Bimatoprost.
ramipril,carvedilol,药效增强,Ramipril may increase the hypotensive activities of Carvedilol.
ramipril,etodolac,药效增强,"The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Etodolac is combined with Ramipril."
ramipril,taxifolin,药效增强,"The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Taxifolin is combined with Ramipril."
ramipril,metolazone,药效增强,The risk or severity of hypotension can be increased when Metolazone is combined with Ramipril.
ramipril,tadalafil,药效增强,Ramipril may increase the hypotensive activities of Tadalafil.
ramipril,dipyridamole,药效增强,Dipyridamole may increase the antihypertensive activities of Ramipril.
ramipril,linezolid,药效增强,Linezolid may increase the hypotensive activities of Ramipril.
ramipril,amphotericin B,药效增强,The risk or severity of adverse effects can be increased when Ramipril is combined with Amphotericin B.
ramipril,dichlorphenamide,药效增强,The risk or severity of adverse effects can be increased when Ramipril is combined with Diclofenamide.
ramipril,bepridil,药效增强,Ramipril may increase the hypotensive activities of Bepridil.
ramipril,vinpocetine,药效增强,The risk or severity of hyperkalemia can be increased when Ramipril is combined with Vinpocetine.
ramipril,caroverine,药效增强,The risk or severity of hyperkalemia can be increased when Ramipril is combined with Caroverine.
ramipril,lamotrigine,药效增强,The risk or severity of hyperkalemia can be increased when Ramipril is combined with Lamotrigine.
ramipril,olmesartan,药效增强,"The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Ramipril is combined with Olmesartan."
ramipril,enalapril,药效增强,The risk or severity of angioedema can be increased when Ramipril is combined with Enalapril.
ramipril,perindopril,药效增强,The risk or severity of angioedema can be increased when Ramipril is combined with Perindopril.
ramipril,temsirolimus,药效增强,The risk or severity of angioedema can be increased when Ramipril is combined with Temsirolimus.
ramipril,aripiprazole,药效增强,The risk or severity of hypotension can be increased when Aripiprazole is combined with Ramipril.
ramipril,indapamide,药效增强,The therapeutic efficacy of Indapamide can be increased when used in combination with Ramipril.
nordihydroguaiaretic acid,proparacaine,药效增强,The risk or severity of methemoglobinemia can be increased when Masoprocol is combined with Proparacaine.
erythromycin,olmesartan,药效减弱,Olmesartan may decrease the excretion rate of Erythromycin which could result in a higher serum level.
erythromycin,disulfiram,药效增强,The serum concentration of Disulfiram can be increased when it is combined with Erythromycin.
erythromycin,pazopanib,药效增强,The serum concentration of Pazopanib can be increased when it is combined with Erythromycin.
erythromycin,ranolazine,药效增强,The serum concentration of Ranolazine can be increased when it is combined with Erythromycin.
erythromycin,everolimus,药效减弱,The metabolism of Everolimus can be decreased when combined with Erythromycin.
erythromycin,ibrutinib,药效减弱,The metabolism of Ibrutinib can be decreased when combined with Erythromycin.
erythromycin,temsirolimus,药效增强,The serum concentration of Temsirolimus can be increased when it is combined with Erythromycin.
erythromycin,zafirlukast,药效减弱,The serum concentration of Zafirlukast can be decreased when it is combined with Erythromycin.
erythromycin,vincristine sulfate,药效增强,The serum concentration of Vincristine can be increased when it is combined with Erythromycin.
erythromycin,proscillaridin A,药效增强,The serum concentration of Proscillaridin can be increased when it is combined with Erythromycin.
erythromycin,doxorubicin hydrochloride,药效增强,The serum concentration of Doxorubicin can be increased when it is combined with Erythromycin.
erythromycin,lincomycin,药效减弱,The therapeutic efficacy of Erythromycin can be decreased when used in combination with Lincomycin.
erythromycin,vinpocetine,药效增强,The serum concentration of Vinpocetine can be increased when it is combined with Erythromycin.
erythromycin,caroverine,药效增强,The serum concentration of Caroverine can be increased when it is combined with Erythromycin.
erythromycin,carvedilol,药效增强,The serum concentration of Carvedilol can be increased when it is combined with Erythromycin.
erythromycin,toremifene,药效增强,The serum concentration of Toremifene can be increased when it is combined with Erythromycin.
erythromycin,bepridil,药效增强,The serum concentration of Bepridil can be increased when it is combined with Erythromycin.
erythromycin,5-fluorouracil,药效增强,The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Fluorouracil.
erythromycin,adenosine,药效增强,The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Adenosine.
erythromycin,roxithromycin,药效增强,The serum concentration of Roxithromycin can be increased when it is combined with Erythromycin.
erythromycin,CUDC-101,药效增强,The risk or severity of QTc prolongation can be increased when Erythromycin is combined with CUDC-101.
erythromycin,ondansetron,药效增强,The serum concentration of Ondansetron can be increased when it is combined with Erythromycin.
erythromycin,indapamide,药效增强,The serum concentration of Indapamide can be increased when it is combined with Erythromycin.
erythromycin,norfloxacin,药效增强,The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Erythromycin.
erythromycin,lamotrigine,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Erythromycin.
erythromycin,theobromine,药效减弱,The metabolism of Theobromine can be decreased when combined with Erythromycin.
erythromycin,cobimetinib,药效减弱,The metabolism of Cobimetinib can be decreased when combined with Erythromycin.
erythromycin,sofosbuvir,药效增强,The serum concentration of Sofosbuvir can be increased when it is combined with Erythromycin.
erythromycin,fedratinib,药效增强,The serum concentration of Fedratinib can be increased when it is combined with Erythromycin.
erythromycin,belinostat,药效增强,The serum concentration of Belinostat can be increased when it is combined with Erythromycin.
erythromycin,aripiprazole,药效增强,The serum concentration of Aripiprazole can be increased when it is combined with Erythromycin.
erythromycin,D-penicillamine,药效减弱,The excretion of Penicillamine can be decreased when combined with Erythromycin.
erythromycin,raloxifene,药效减弱,The excretion of Raloxifene can be decreased when combined with Erythromycin.
erythromycin,enalapril,药效减弱,The excretion of Enalapril can be decreased when combined with Erythromycin.
erythromycin,quercetin,药效减弱,The excretion of Erythromycin can be decreased when combined with Quercetin.
erythromycin,UDCA,药效减弱,Erythromycin may decrease the excretion rate of Ursodeoxycholic acid which could result in a higher serum level.
erythromycin,lenvatinib,药效减弱,Lenvatinib may decrease the excretion rate of Erythromycin which could result in a higher serum level.
erythromycin,depsipeptide,药效增强,The serum concentration of Romidepsin can be increased when it is combined with Erythromycin.
erythromycin,etoposide,药效增强,The serum concentration of Etoposide can be increased when it is combined with Erythromycin.
erythromycin,Lyovac Cosmegen,药效增强,The serum concentration of Dactinomycin can be increased when it is combined with Erythromycin.
erythromycin,crizotinib,药效增强,The serum concentration of Crizotinib can be increased when it is combined with Erythromycin.
erythromycin,dabrafenib,药效减弱,The serum concentration of Erythromycin can be decreased when it is combined with Dabrafenib.
erythromycin,ceritinib,药效增强,The serum concentration of Ceritinib can be increased when it is combined with Erythromycin.
erythromycin,dacomitinib,药效增强,The serum concentration of Dacomitinib can be increased when it is combined with Erythromycin.
erythromycin,carfilzomib,药效增强,The serum concentration of Carfilzomib can be increased when it is combined with Erythromycin.
erythromycin,binimetinib,药效增强,The serum concentration of Binimetinib can be increased when it is combined with Erythromycin.
erythromycin,vinblastine sulfate,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Erythromycin.
erythromycin,panobinostat,药效增强,The serum concentration of Panobinostat can be increased when it is combined with Erythromycin.
erythromycin,ponatinib,药效增强,The serum concentration of Ponatinib can be increased when it is combined with Erythromycin.
erythromycin,venetoclax,药效增强,The serum concentration of Venetoclax can be increased when it is combined with Erythromycin.
erythromycin,aminophylline,药效增强,The serum concentration of Aminophylline can be increased when it is combined with Erythromycin.
erythromycin,methotrexate,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Erythromycin.
erythromycin,sunitinib malate,药效增强,The serum concentration of Sunitinib can be increased when it is combined with Erythromycin.
erythromycin,mycophenolate mofetil,药效增强,The serum concentration of Mycophenolate mofetil can be increased when it is combined with Erythromycin.
erythromycin,istradefylline,药效增强,The serum concentration of Istradefylline can be increased when it is combined with Erythromycin.
erythromycin,tadalafil,药效增强,The serum concentration of Tadalafil can be increased when it is combined with Erythromycin.
erythromycin,dutasteride,药效减弱,The metabolism of Dutasteride can be decreased when combined with Erythromycin.
erythromycin,vicriviroc,药效增强,The serum concentration of Vicriviroc can be increased when it is combined with Erythromycin.
erythromycin,mometasone furoate,药效增强,The serum concentration of Mometasone furoate can be increased when it is combined with Erythromycin.
erythromycin,clobetasol propionate,药效增强,The serum concentration of Clobetasol propionate can be increased when it is combined with Erythromycin.
erythromycin,fluocinonide,药效增强,The serum concentration of Fluocinonide can be increased when it is combined with Erythromycin.
erythromycin,ataluren,药效减弱,The excretion of Erythromycin can be decreased when combined with Ataluren.
erythromycin,deflazacort,药效增强,The serum concentration of Deflazacort can be increased when it is combined with Erythromycin.
erythromycin,dipyridamole,药效增强,The risk or severity of bleeding can be increased when Erythromycin is combined with Dipyridamole.
erythromycin,dabigatran,药效增强,The risk or severity of bleeding can be increased when Erythromycin is combined with Dabigatran.
erythromycin,triamcinolone acetonide,药效减弱,Erythromycin may decrease the excretion rate of Triamcinolone which could result in a higher serum level.
erythromycin,NSC756696,药效减弱,The therapeutic efficacy of Erythromycin can be decreased when used in combination with Clindamycin.
erythromycin,cortisone acetate,药效增强,The serum concentration of Cortisone acetate can be increased when it is combined with Erythromycin.
erythromycin,meprednisone,药效增强,The serum concentration of Meprednisone can be increased when it is combined with Erythromycin.
erythromycin,dexamethasone,药效增强,The serum concentration of Dexamethasone can be increased when it is combined with Erythromycin.
erythromycin,prednisone,药效增强,The serum concentration of Prednisone can be increased when it is combined with Erythromycin.
erythromycin,betamethasone dipropionate,药效增强,The serum concentration of Betamethasone can be increased when it is combined with Erythromycin.
erythromycin,methylprednisolone,药效增强,The serum concentration of Methylprednisolone can be increased when it is combined with Erythromycin.
