node1,node2,combined_score
1-phosphatidylinositol 3-phosphate 5-kinase,Amyloid-beta precursor protein,0.7
11-beta-hydroxysteroid dehydrogenase 1,Glucocorticoid receptor,0.852
11-beta-hydroxysteroid dehydrogenase 1,3-oxo-5-alpha-steroid 4-dehydrogenase 1,0.828
11-beta-hydroxysteroid dehydrogenase 1,Mineralocorticoid receptor,0.805
11-beta-hydroxysteroid dehydrogenase 1,Cytochrome P450 1A1,0.931
11-beta-hydroxysteroid dehydrogenase 1,Cytochrome P450 3A4,0.941
3-oxo-5-alpha-steroid 4-dehydrogenase 1,3-oxo-5-alpha-steroid 4-dehydrogenase 2,0.935
3-oxo-5-alpha-steroid 4-dehydrogenase 1,Aromatase,0.972
3-oxo-5-alpha-steroid 4-dehydrogenase 2,Androgen receptor,0.821
3-oxo-5-alpha-steroid 4-dehydrogenase 2,Aromatase,0.961
3-phosphoinositide-dependent protein kinase 1,Protein kinase C theta type,0.905
3-phosphoinositide-dependent protein kinase 1,Heat shock protein HSP 90-alpha,0.845
3-phosphoinositide-dependent protein kinase 1,Protein kinase C beta type,0.728
3-phosphoinositide-dependent protein kinase 1,Serine/threonine-protein kinase mTOR,0.848
3-phosphoinositide-dependent protein kinase 1,Inhibitor of nuclear factor kappa-B kinase subunit alpha,0.922
3-phosphoinositide-dependent protein kinase 1,Inhibitor of nuclear factor kappa-B kinase subunit beta,0.924
3-phosphoinositide-dependent protein kinase 1,RAC-gamma serine/threonine-protein kinase,0.939
3-phosphoinositide-dependent protein kinase 1,Protein kinase C alpha type,0.943
3-phosphoinositide-dependent protein kinase 1,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0.967
3-phosphoinositide-dependent protein kinase 1,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.973
3-phosphoinositide-dependent protein kinase 1,RAC-alpha serine/threonine-protein kinase,0.999
5'-nucleotidase,Nicotinamide phosphoribosyltransferase,0.904
5'-nucleotidase,Orotate phosphoribosyltransferase,0.905
5'-nucleotidase,Adenosine deaminase,0.919
5'-nucleotidase,Thymidylate synthase,0.922
5'-nucleotidase,Inosine-5'-monophosphate dehydrogenase 1,0.923
5'-nucleotidase,Inosine-5'-monophosphate dehydrogenase 2,0.924
5-hydroxytryptamine receptor 1A,Sodium-dependent serotonin transporter,0.968
5-hydroxytryptamine receptor 1A,Sodium-dependent dopamine transporter,0.792
5-hydroxytryptamine receptor 1A,5-hydroxytryptamine receptor 7,0.701
5-hydroxytryptamine receptor 1A,Transient receptor potential cation channel subfamily V member 1,0.74
5-hydroxytryptamine receptor 1A,5-hydroxytryptamine receptor 3A,0.748
5-hydroxytryptamine receptor 1A,5-hydroxytryptamine receptor 1B,0.914
5-hydroxytryptamine receptor 1A,5-hydroxytryptamine receptor 2A,0.92
5-hydroxytryptamine receptor 1A,Fibroblast growth factor receptor 1,0.951
5-hydroxytryptamine receptor 1B,5-hydroxytryptamine receptor 2B,0.725
5-hydroxytryptamine receptor 1B,Sodium-dependent serotonin transporter,0.932
5-hydroxytryptamine receptor 1B,Sodium-dependent dopamine transporter,0.748
5-hydroxytryptamine receptor 1B,5-hydroxytryptamine receptor 2C,0.721
5-hydroxytryptamine receptor 1B,5-hydroxytryptamine receptor 1E,0.749
5-hydroxytryptamine receptor 1B,5-hydroxytryptamine receptor 3A,0.742
5-hydroxytryptamine receptor 1B,5-hydroxytryptamine receptor 2A,0.839
5-hydroxytryptamine receptor 1B,5-hydroxytryptamine receptor 1D,0.952
5-hydroxytryptamine receptor 1D,Sodium-dependent serotonin transporter,0.921
5-hydroxytryptamine receptor 1D,5-hydroxytryptamine receptor 1E,0.742
5-hydroxytryptamine receptor 1D,5-hydroxytryptamine receptor 3A,0.793
5-hydroxytryptamine receptor 1E,5-hydroxytryptamine receptor 5A,0.72
5-hydroxytryptamine receptor 1E,5-hydroxytryptamine receptor 3A,0.784
5-hydroxytryptamine receptor 2A,5-hydroxytryptamine receptor 2B,0.962
5-hydroxytryptamine receptor 2A,Sodium-dependent serotonin transporter,0.961
5-hydroxytryptamine receptor 2A,Sodium-dependent dopamine transporter,0.708
5-hydroxytryptamine receptor 2A,5-hydroxytryptamine receptor 2C,0.991
5-hydroxytryptamine receptor 2A,5-hydroxytryptamine receptor 3A,0.881
5-hydroxytryptamine receptor 2A,D(2) dopamine receptor,0.799
5-hydroxytryptamine receptor 2A,Voltage gated L-type calcium channel,0.909
5-hydroxytryptamine receptor 2B,Type-1 angiotensin II receptor,0.746
