Drug1,Drug2,Cell line,ZIP,classification
5-fluorouracil,veliparib,A2058_SKIN,5.88,synergy
5-fluorouracil,MK-1775,A2058_SKIN,12.29,synergy
5-fluorouracil,MK-1775,A2058_SKIN,7.64,synergy
5-fluorouracil,MK-1775,A2058_SKIN,14.79,synergy
5-fluorouracil,L-778123,A2058_SKIN,6.06,synergy
5-fluorouracil,L-778123,A2058_SKIN,9.24,synergy
5-fluorouracil,MK-2206 dihydrochloride,A2058_SKIN,13.29,synergy
5-fluorouracil,MK-2206 dihydrochloride,A2058_SKIN,7.47,synergy
5-fluorouracil,MK-5108,A2058_SKIN,10.06,synergy
5-fluorouracil,MK-5108,A2058_SKIN,8.19,synergy
5-fluorouracil,MK-5108,A2058_SKIN,7.57,synergy
5-fluorouracil,MK-5108,A2058_SKIN,5.3,synergy
5-fluorouracil,ridaforolimus,A2058_SKIN,10.36,synergy
5-fluorouracil,ridaforolimus,A2058_SKIN,10.78,synergy
5-fluorouracil,ridaforolimus,A2058_SKIN,10.73,synergy
5-fluorouracil,Y0217,A2058_SKIN,13.44,synergy
5-fluorouracil,Y0217,A2058_SKIN,5.28,synergy
5-fluorouracil,PD 0325901,A2058_SKIN,9.12,synergy
veliparib,NVP-BEZ235,A2058_SKIN,8.27,synergy
veliparib,NVP-BEZ235,A2058_SKIN,6.34,synergy
veliparib,NVP-BEZ235,A2058_SKIN,21.01,synergy
veliparib,NVP-BEZ235,A2058_SKIN,9.67,synergy
veliparib,ridaforolimus,A2058_SKIN,9.61,synergy
veliparib,ridaforolimus,A2058_SKIN,6.24,synergy
veliparib,Y0217,A2058_SKIN,5.89,synergy
veliparib,Y0217,A2058_SKIN,8.04,synergy
veliparib,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,19.29,synergy
veliparib,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,22.99,synergy
veliparib,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,19.02,synergy
veliparib,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,20.27,synergy
MK-1775,veliparib,A2058_SKIN,10.71,synergy
MK-1775,veliparib,A2058_SKIN,10.87,synergy
MK-1775,NVP-BEZ235,A2058_SKIN,6.46,synergy
MK-1775,NVP-BEZ235,A2058_SKIN,11.4,synergy
MK-1775,NVP-BEZ235,A2058_SKIN,9.77,synergy
MK-1775,NVP-BEZ235,A2058_SKIN,8.64,synergy
MK-1775,MK-2206 dihydrochloride,A2058_SKIN,6.15,synergy
MK-1775,MK-2206 dihydrochloride,A2058_SKIN,5.84,synergy
MK-1775,niraparib,A2058_SKIN,20.55,synergy
MK-1775,niraparib,A2058_SKIN,23.7,synergy
MK-1775,niraparib,A2058_SKIN,9.92,synergy
MK-1775,niraparib,A2058_SKIN,24.87,synergy
MK-1775,ridaforolimus,A2058_SKIN,20.22,synergy
MK-1775,ridaforolimus,A2058_SKIN,8.07,synergy
MK-1775,ridaforolimus,A2058_SKIN,9.66,synergy
MK-1775,ridaforolimus,A2058_SKIN,8.48,synergy
MK-1775,Y0217,A2058_SKIN,36.12,synergy
MK-1775,Y0217,A2058_SKIN,36.76,synergy
MK-1775,Y0217,A2058_SKIN,35.14,synergy
MK-1775,Y0217,A2058_SKIN,33.23,synergy
MK-1775,PD 0325901,A2058_SKIN,8.68,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,10.08,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,8.74,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,12,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,6.44,synergy
NVP-BEZ235,Y0217,A2058_SKIN,9.73,synergy
NVP-BEZ235,Y0217,A2058_SKIN,8.19,synergy
NVP-BEZ235,Y0217,A2058_SKIN,13.23,synergy
NVP-BEZ235,Y0217,A2058_SKIN,10.93,synergy
L-778123,MK-1775,A2058_SKIN,14.9,synergy
L-778123,MK-1775,A2058_SKIN,16.1,synergy
L-778123,MK-1775,A2058_SKIN,12.35,synergy
L-778123,MK-1775,A2058_SKIN,16.78,synergy
L-778123,NVP-BEZ235,A2058_SKIN,5.92,synergy
